ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF,reprovacao,carro,superior,porc_sexo_masc,porc_cor_prePar,ano
23169001,3,1,Grupo 2,38,0.23684210526315788,0.08108108108108109,0.13636363636363635,0.6296296296296297,0.8333333333333334,2013
23168862,3,1,Grupo 3,NA,NA,NA,NA,NA,NA,2013
23253940,3,1,Grupo 3,NA,NA,NA,NA,NA,NA,2013
23051817,3,1,Grupo 3,106,0.23684210526315788,0.10752688172043011,0.056179775280898875,0.358695652173913,0.7021276595744681,2013
23051787,3,2,Grupo 2,NA,NA,NA,NA,NA,NA,2013
23051752,3,1,Grupo 3,NA,NA,NA,NA,NA,NA,2013
23051728,3,2,Grupo 3,27,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.5,0.8571428571428571,2013
23051710,3,2,Grupo 3,NA,NA,NA,NA,NA,NA,2013
23317213,3,1,Grupo 2,36,0.2222222222222222,0.1388888888888889,0,0.375,0.7727272727272727,2013
23253215,3,1,Grupo 2,38,0.5151515151515151,0.11764705882352941,0.030303030303030304,0.59375,0.5151515151515151,2013
23219610,3,1,Grupo 2,52,0.2619047619047619,0.09523809523809523,0,0.43243243243243246,0.6829268292682927,2013
23176016,3,2,Grupo 2,NA,NA,NA,NA,NA,NA,2013
23001070,3,1,Grupo 2,36,0.6857142857142857,0.02857142857142857,0.02857142857142857,0.45714285714285713,0.7714285714285715,2013
23001054,3,1,Grupo 2,25,0.48148148148148145,0.15384615384615385,0,0.44,0.4583333333333333,2013
23000953,3,2,Grupo 2,71,0.3898305084745763,0.13793103448275862,0.027777777777777776,0.6949152542372882,0.7419354838709677,2013
23000929,3,2,Grupo 2,NA,NA,NA,NA,NA,NA,2013
23000910,3,2,Grupo 2,46,0.4166666666666667,0,0.07142857142857142,0.5,NA,2013
23000830,3,2,Grupo 1,37,0.5625,0.08333333333333333,0.027777777777777776,0.5483870967741935,0.5277777777777778,2013
23000791,3,1,Grupo 3,49,0.24,0.15789473684210525,0,0.4722222222222222,0.6285714285714286,2013
23000708,3,1,Grupo 2,NA,NA,NA,NA,NA,NA,2013
