ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF,reprovacao,carro,superior,porc_sexo_masc,porc_cor_prePar
23169001,3,1,Grupo 2,38,0.23684210526315788,0.08108108108108109,0.13636363636363635,0.6296296296296297,0.8333333333333334
23168862,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23253940,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23051817,3,1,Grupo 3,106,0.23684210526315788,0.10752688172043011,0.056179775280898875,0.358695652173913,0.7021276595744681
23051787,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23051752,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23051728,3,2,Grupo 3,27,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.5,0.8571428571428571
23051710,3,2,Grupo 3,NA,NA,NA,NA,NA,NA
23317213,3,1,Grupo 2,36,0.2222222222222222,0.1388888888888889,0,0.375,0.7727272727272727
23253215,3,1,Grupo 2,38,0.5151515151515151,0.11764705882352941,0.030303030303030304,0.59375,0.5151515151515151
23219610,3,1,Grupo 2,52,0.2619047619047619,0.09523809523809523,0,0.43243243243243246,0.6829268292682927
23176016,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23001070,3,1,Grupo 2,36,0.6857142857142857,0.02857142857142857,0.02857142857142857,0.45714285714285713,0.7714285714285715
23001054,3,1,Grupo 2,25,0.48148148148148145,0.15384615384615385,0,0.44,0.4583333333333333
23000953,3,2,Grupo 2,71,0.3898305084745763,0.13793103448275862,0.027777777777777776,0.6949152542372882,0.7419354838709677
23000929,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23000910,3,2,Grupo 2,46,0.4166666666666667,0,0.07142857142857142,0.5,NA
23000830,3,2,Grupo 1,37,0.5625,0.08333333333333333,0.027777777777777776,0.5483870967741935,0.5277777777777778
23000791,3,1,Grupo 3,49,0.24,0.15789473684210525,0,0.4722222222222222,0.6285714285714286
23000708,3,1,Grupo 2,NA,NA,NA,NA,NA,NA
23000651,3,1,Grupo 2,NA,NA,NA,NA,NA,NA
23001100,3,2,Grupo 2,39,0.3142857142857143,0.17142857142857143,0,0.5142857142857142,0.7352941176470589
23000570,3,2,Grupo 3,88,0.40963855421686746,0.20454545454545456,0.043478260869565216,0.4939759036144578,0.6166666666666667
23000562,3,2,Grupo 2,42,0.358974358974359,0.3,0.1,0.6410256410256411,0.6578947368421053
23000520,3,1,Grupo 2,32,0.25806451612903225,0.0625,0.03125,0.5625,0.78125
23000481,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23253231,3,1,Grupo 3,107,0.38636363636363635,0.1839080459770115,0.13636363636363635,0.3977272727272727,0.7428571428571429
23000473,3,2,Grupo 2,42,0.5128205128205128,0.15,0,0.45,0.65
23000465,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23000449,3,2,Grupo 1,27,0.14285714285714285,0.22727272727272727,0.045454545454545456,0.36363636363636365,0.45454545454545453
23000392,3,1,Grupo 2,NA,NA,NA,NA,NA,NA
23000317,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23000147,3,2,Grupo 1,37,0.3142857142857143,0.08333333333333333,0,0.3142857142857143,0.7222222222222222
23000104,3,2,Grupo 1,26,0.2608695652173913,0.1,0,0.38095238095238093,0.65
23176571,3,1,Grupo 2,28,0.4074074074074074,0.037037037037037035,0,0.6666666666666666,0
23114304,3,2,Grupo 2,36,0.21212121212121213,0.17647058823529413,0.030303030303030304,0.5555555555555556,0.3333333333333333
23114070,3,2,Grupo 3,20,0.38095238095238093,0.14285714285714285,0.047619047619047616,0.47619047619047616,0.5714285714285714
23113359,3,2,Grupo 2,33,0.5,0.0967741935483871,0.1111111111111111,0.4838709677419355,0.6
23113146,3,2,Grupo 1,27,0.2608695652173913,0.043478260869565216,0,0.5416666666666666,0.30434782608695654
23114231,3,2,Grupo 1,NA,NA,NA,NA,NA,NA
23113090,3,2,Grupo 3,49,0.21739130434782608,0.14583333333333334,0.15555555555555556,0.6097560975609756,0.75
23112638,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23112360,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23112204,3,1,Grupo 2,NA,NA,NA,NA,NA,NA
23112042,3,1,Grupo 3,82,0.2692307692307692,0.15,0.04838709677419355,0.5375,0.4567901234567901
23111984,3,1,Grupo 3,46,0.3333333333333333,0.18181818181818182,0.06818181818181818,0.6444444444444445,0.6666666666666666
23111933,3,1,Grupo 3,156,0.38461538461538464,0.19310344827586207,0.06201550387596899,0.47586206896551725,0.5310344827586206
23111925,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23111917,3,2,Grupo 1,NA,NA,NA,NA,NA,NA
23111810,3,1,Grupo 2,39,0.32432432432432434,0.07692307692307693,0,0.5641025641025641,0.6923076923076923
23105488,3,2,Grupo 2,64,0.4406779661016949,0.1016949152542373,0.0784313725490196,0.4067796610169492,0.7413793103448276
23105380,3,2,Grupo 1,54,0.3584905660377358,0.10416666666666667,0.0625,0.5106382978723404,0.625
23104953,3,1,Grupo 3,78,0.4142857142857143,0.22388059701492538,0.19672131147540983,0.42028985507246375,0.5606060606060606
23104899,3,2,Grupo 1,NA,NA,NA,NA,NA,NA
23104414,3,2,Grupo 1,23,0.4090909090909091,0.09523809523809523,0,0.4444444444444444,0
23267801,3,2,Grupo 1,NA,NA,NA,NA,NA,NA
23017015,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23017007,3,2,Grupo 1,NA,NA,NA,NA,NA,NA
23016990,3,2,Grupo 2,41,0.4594594594594595,0.027777777777777776,0,0.6666666666666666,0.972972972972973
23016930,3,1,Grupo 3,155,0.5416666666666666,0.2328767123287671,0.07017543859649122,0.4217687074829932,0.9103448275862069
23016868,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23254971,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23155671,3,1,Grupo 3,84,0.6375,0.12658227848101267,0.02531645569620253,0.4567901234567901,0.5205479452054794
23273232,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23228237,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23126272,3,1,Grupo 3,76,0.32857142857142857,0.2602739726027397,0.1206896551724138,0.4,0.5833333333333334
23494980,3,2,Grupo 1,20,0.47368421052631576,0.15789473684210525,0.16666666666666666,0.631578947368421,0.7894736842105263
23441631,3,1,Grupo 3,100,0.1958762886597938,0.20618556701030927,0.14893617021276595,0.59375,0.5876288659793815
23266597,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23247436,3,1,Grupo 2,NA,NA,NA,NA,NA,NA
23230193,3,1,Grupo 3,28,0.15384615384615385,0.25925925925925924,0.038461538461538464,0.4074074074074074,0.84
23035455,3,2,Grupo 1,NA,NA,NA,NA,NA,NA
23035412,3,1,Grupo 2,33,0.5151515151515151,0.15625,0.11764705882352941,0.42857142857142855,0.5
23035188,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23035145,3,1,Grupo 2,37,0.6176470588235294,0.11764705882352941,0,0.45454545454545453,0.5882352941176471
23034955,3,1,Grupo 2,28,0.35714285714285715,0.11538461538461539,0,0.6296296296296297,0.56
23247401,3,2,Grupo 1,20,0.5,0.2,0,0.631578947368421,0.7142857142857143
23034920,3,2,Grupo 2,23,0.391304347826087,0.13043478260869565,0.043478260869565216,0.45454545454545453,0.7391304347826086
23034890,3,2,Grupo 1,21,0.47368421052631576,0.05263157894736842,0,0.4,0.47368421052631576
23034823,3,1,Grupo 3,29,0.20689655172413793,0.1724137931034483,0.17857142857142858,0.5172413793103449,0.6896551724137931
23034572,3,2,Grupo 1,22,0.45,0.15,0,0.8421052631578947,0.55
23034548,3,2,Grupo 2,26,0.7391304347826086,0.08333333333333333,0,0.4583333333333333,0.875
23034440,3,1,Grupo 2,NA,NA,NA,NA,NA,NA
23034114,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23034076,3,1,Grupo 3,49,0.4090909090909091,0.022222222222222223,0.06976744186046512,0.5476190476190477,0.5111111111111111
23034025,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23145447,3,1,Grupo 2,29,0.6129032258064516,0.0967741935483871,0.06666666666666667,0.5,0
23145366,3,1,Grupo 2,83,0.42857142857142855,0.01282051282051282,0.125,0.44871794871794873,0.4675324675324675
23229691,3,1,Grupo 3,104,0.42391304347826086,0.2736842105263158,0.10666666666666667,0.5106382978723404,0.6914893617021277
23044705,3,2,Grupo 2,20,0.23529411764705882,0.2777777777777778,0.11764705882352941,0.6666666666666666,0.5
23044268,3,2,Grupo 2,28,0.25,0,0,0.46153846153846156,0.7272727272727273
23044209,3,2,Grupo 1,21,0.35,0.05,0.05263157894736842,0.3684210526315789,0.6
23044110,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23061685,3,1,Grupo 3,78,0.5,0.29577464788732394,0.08108108108108109,0.352112676056338,0.6388888888888888
23061626,3,1,Grupo 3,NA,NA,NA,NA,NA,NA
23061618,3,1,Grupo 3,66,0.453125,0.09375,0.078125,0.3968253968253968,0.6101694915254238
23061430,3,1,Grupo 4,69,0.35294117647058826,0.38095238095238093,0.03225806451612903,0.3968253968253968,0.65
23061413,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23061294,3,2,Grupo 4,NA,NA,NA,NA,NA,NA
23061251,3,1,Grupo 3,40,0.39473684210526316,0.2972972972972973,0.08333333333333333,0.4473684210526316,0.7368421052631579
23061197,3,2,Grupo 3,27,0.48,0.16,0.08,0.52,0.6
23061189,3,2,Grupo 2,NA,NA,NA,NA,NA,NA
23061162,3,2,Grupo 3,NA,NA,NA,NA,NA,NA
23061090,3,2,Grupo 3,NA,NA,NA,NA,NA,NA
