ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF,reprovacao,carro,superior,porc_sexo_masc,porc_cor_prePar
23169001,3,1,Baixo,30,0.2,0.13793103448275862,0.13793103448275862,0.5925925925925926,0.6551724137931034
23168862,3,1,Médio Baixo,23,0.2857142857142857,0.22727272727272727,0.043478260869565216,0.7391304347826086,0.6818181818181818
23051817,3,1,Médio Baixo,114,0.29411764705882354,0.23529411764705882,0.0392156862745098,0.3786407766990291,0.7864077669902912
23051787,3,2,Médio Baixo,20,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.7222222222222222
23051728,3,2,Médio Baixo,22,0.34782608695652173,0.2608695652173913,0.13043478260869565,0.30434782608695654,0.9565217391304348
23317213,3,1,Médio Baixo,51,0.24444444444444444,0.20930232558139536,0.025,0.4772727272727273,0.8780487804878049
23253231,3,1,Médio Baixo,89,0.26136363636363635,0.43529411764705883,0.08235294117647059,0.5058823529411764,0.6046511627906976
23253215,3,1,Médio Baixo,54,0.6363636363636364,0.1951219512195122,0.023809523809523808,0.5952380952380952,0.7906976744186046
23176016,3,2,Baixo,33,0.25,0.24242424242424243,0.030303030303030304,0.5,0.3939393939393939
23001100,3,2,Médio Baixo,25,0.44,0.04,0,0.48,0.6666666666666666
23001070,3,1,Baixo,87,0.3561643835616438,0.11940298507462686,0.08823529411764706,0.5138888888888888,0.8
23000945,3,2,NA,NA,NA,NA,NA,NA,NA
23000929,3,2,Baixo,NA,NA,NA,NA,NA,NA
23000910,3,2,Baixo,NA,NA,NA,NA,NA,NA
23000830,3,2,Baixo,28,0.3793103448275862,0.18518518518518517,0.03571428571428571,0.5555555555555556,0.6538461538461539
23000791,3,1,Médio Baixo,41,0.2727272727272727,0.3,0.125,0.5161290322580645,0.8333333333333334
23000570,3,2,Médio Baixo,69,0.28125,0.15384615384615385,0.06060606060606061,0.625,0.5692307692307692
23000562,3,2,Médio Baixo,46,0.4222222222222222,0.1111111111111111,0.06976744186046512,0.5217391304347826,0.5714285714285714
23000520,3,1,Baixo,40,0.3333333333333333,0.24324324324324326,0.05263157894736842,0.5641025641025641,0.8461538461538461
23000953,3,2,Baixo,47,0.2727272727272727,0.1956521739130435,0.022727272727272728,0.5333333333333333,0.8
23219610,3,1,Baixo,48,0.2608695652173913,0.21951219512195122,0.07142857142857142,0.4772727272727273,0.6136363636363636
23000473,3,2,Baixo,41,0.45,0.125,0.025,0.5,0.6
23000449,3,2,Baixo,27,0.24,0.16,0,0.4,0.5416666666666666
23000392,3,1,Baixo,NA,NA,NA,NA,NA,NA
23000317,3,1,Médio Baixo,NA,NA,NA,NA,NA,NA
23000147,3,2,Baixo,NA,NA,NA,NA,NA,NA
23000074,3,2,NA,NA,NA,NA,NA,NA,NA
23176571,3,1,Baixo,NA,NA,NA,NA,NA,NA
23114304,3,2,Baixo,44,0.05128205128205128,0.125,0.05,0.41025641025641024,0.45
23114231,3,2,Baixo,NA,NA,NA,NA,NA,NA
23114070,3,2,Baixo,46,0.08888888888888889,0.16666666666666666,0.041666666666666664,0.574468085106383,0.875
23113146,3,2,Baixo,27,0.12,0.08,0,0.6,0.36
23113090,3,2,Médio Baixo,32,0.034482758620689655,0.2903225806451613,0.13333333333333333,0.5483870967741935,0.7096774193548387
23112638,3,2,Baixo,26,0.3333333333333333,0.18518518518518517,0,0.52,0.5769230769230769
23113359,3,2,Baixo,35,0.18518518518518517,0.06451612903225806,0,0.3225806451612903,0.4838709677419355
23112387,3,2,NA,NA,NA,NA,NA,NA,NA
23112204,3,1,Médio Baixo,NA,NA,NA,NA,NA,NA
23112042,3,1,Médio Baixo,93,0.1,0.13186813186813187,0.05555555555555555,0.45161290322580644,0.6989247311827957
23111984,3,1,Médio Baixo,44,0.20454545454545456,0.13636363636363635,0,0.5348837209302325,0.6818181818181818
23111933,3,1,Médio Baixo,93,0.11627906976744186,0.25,0.047619047619047616,0.5168539325842697,0.4606741573033708
23111925,3,1,Médio Baixo,NA,NA,NA,NA,NA,NA
23111810,3,1,Médio Baixo,57,0.17647058823529413,0.16071428571428573,0.01818181818181818,0.6111111111111112,0.631578947368421
23111674,3,1,Baixo,NA,NA,NA,NA,NA,NA
23105488,3,2,Baixo,49,0.23255813953488372,0.09302325581395349,0.075,0.4186046511627907,0.5581395348837209
23105380,3,2,Baixo,32,0.1875,0.3225806451612903,0.0625,0.625,0.5625
23105062,3,2,Baixo,24,0.5833333333333334,0,0.041666666666666664,0.7083333333333334,0.75
23104953,3,1,Médio Baixo,58,0.38181818181818183,0.25,0.21818181818181817,0.5,0.6071428571428571
23104899,3,2,Médio Baixo,NA,NA,NA,NA,NA,NA
23104414,3,2,Baixo,NA,NA,NA,NA,NA,NA
23267801,3,2,Muito Baixo,NA,NA,NA,NA,NA,NA
23017015,3,1,Médio Baixo,NA,NA,NA,NA,NA,NA
23016930,3,1,Médio Baixo,115,0.4424778761061947,0.26548672566371684,0.10619469026548672,0.5486725663716814,0.8272727272727273
23254971,3,1,Médio Baixo,NA,NA,NA,NA,NA,NA
23155671,3,1,Médio Baixo,101,0.18811881188118812,0.21904761904761905,0.0707070707070707,0.4803921568627451,0.6310679611650486
23228237,3,1,Médio,NA,NA,NA,NA,NA,NA
