ID_ESCOLA,reprovacao,carro,superior,ano,porc_sexo_masc,porc_cor_prePar,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF
23000104,0.047619047619047616,0.2857142857142857,0.047619047619047616,2019,0.4761904761904762,0.5714285714285714,3,2,Nível II,21
23000147,0.2777777777777778,0.05555555555555555,0,2019,0.631578947368421,0.8421052631578947,3,2,Nível II,19
23000260,0.09523809523809523,0.2857142857142857,0.14285714285714285,2019,0.3809523809523809,0.5714285714285714,3,2,Nível III,21
23000449,0.06666666666666667,0.2,0.13333333333333333,2019,0.4545454545454545,0.5,3,2,Nível III,22
23000473,0.3,0.3,0.03333333333333333,2019,0.4705882352941176,0.5588235294117647,3,2,Nível II,34
23000481,0,0.16666666666666666,0,2019,0.5263157894736842,0.3157894736842105,3,2,Nível III,19
23000520,0.23076923076923078,0.3076923076923077,0.23076923076923078,2019,0.5833333333333334,0.4722222222222222,3,1,Nível III,36
23000562,0.08695652173913043,0.2391304347826087,0.08695652173913043,2019,0.5263157894736842,0.5263157894736842,3,2,Nível III,57
23000570,0.14084507042253522,0.28169014084507044,0.04225352112676056,2019,0.5909090909090909,0.6022727272727273,3,2,Nível III,88
23000651,0.5,0.3333333333333333,0.05555555555555555,2019,0.5909090909090909,0.6363636363636364,3,1,Nível III,22
23000660,0.1111111111111111,0.2777777777777778,0.1111111111111111,2019,0.6666666666666666,0.3809523809523809,3,2,Nível III,21
23000708,0.17647058823529413,0.35294117647058826,0,2019,0.5,0.4,3,1,Nível III,20
23000791,0.16,0.2,0.04,2019,0.3928571428571428,0.5,3,1,Nível III,28
23000830,0.17391304347826086,0.21739130434782608,0,2019,0.4,0.84,3,2,Nível II,25
23000910,0.17857142857142858,0.07142857142857142,0.07142857142857142,2019,0.5333333333333333,0.5666666666666667,3,2,Nível II,30
23000945,0.08333333333333333,0.3333333333333333,0.08333333333333333,2019,0.6,0.6,3,2,Nível III,30
23000953,0.1111111111111111,0.3333333333333333,0.1388888888888889,2019,0.5510204081632653,0.7346938775510204,3,2,Nível III,49
23001054,0.11764705882352941,0.23529411764705882,0.17647058823529413,2019,0.5,0.6666666666666666,3,1,Nível II,18
23001070,0.24444444444444444,0.24444444444444444,0.044444444444444446,2019,0.5,0.6724137931034483,3,1,Nível III,58
23001100,0.16,0.24,0.08,2019,0.7333333333333333,0.5,3,2,Nível III,30
23001232,0.20610687022900764,0.19083969465648856,0.0916030534351145,2019,0.6197183098591549,0.7464788732394366,3,1,Nível II,142
23001704,0.17391304347826086,0.2391304347826087,0.043478260869565216,2019,0.5254237288135594,0.8135593220338984,3,1,Nível II,59
23001739,0.26153846153846155,0.2923076923076923,0.13846153846153847,2019,0.4117647058823529,0.6176470588235294,3,1,Nível III,68
23001798,0.13636363636363635,0.2727272727272727,0,2019,0.2692307692307692,0.8076923076923077,3,2,Nível II,26
23001879,0.35294117647058826,0.058823529411764705,0.058823529411764705,2019,0.5263157894736842,0.7368421052631579,3,2,Nível II,19
23001968,0.25,0.15,0.05,2019,0.4615384615384616,0.7307692307692307,3,2,Nível II,26
23002131,0.0896551724137931,0.21379310344827587,0.034482758620689655,2019,0.5088757396449705,0.6863905325443787,3,1,Nível III,169
23002212,0.041666666666666664,0.4166666666666667,0,2019,0.625,0.625,3,2,Nível III,24
23002247,0.16666666666666666,0.3333333333333333,0,2019,0.625,0.8125,3,2,Nível II,16
23002255,0,0.15384615384615385,0.07692307692307693,2019,0.6923076923076923,0.5384615384615384,3,2,Nível II,13
23002263,0.2727272727272727,0.7272727272727273,0,2019,0.4545454545454545,0.4545454545454545,3,2,Nível III,11
23002360,0.23076923076923078,0.23076923076923078,0,2019,0.6875,0.8125,3,2,Nível III,16
23002409,0.05263157894736842,0.21052631578947367,0,2019,0.3809523809523809,0.5714285714285714,3,2,Nível II,21
23002530,0.12087912087912088,0.2087912087912088,0.07692307692307693,2019,0.4716981132075472,0.6132075471698113,3,1,Nível III,106
23002549,0.3333333333333333,0.05555555555555555,0.16666666666666666,2019,0.5,0.4545454545454545,3,1,Nível II,22
23002573,0.2682926829268293,0.07317073170731707,0.0975609756097561,2019,0.5319148936170213,0.5319148936170213,3,1,Nível II,47
23002646,0.1595744680851064,0.1276595744680851,0.0425531914893617,2019,0.4814814814814815,0.5925925925925926,3,1,Nível II,108
23002727,0.2,0.1,0,2019,0.5333333333333333,0.1333333333333333,3,1,Nível II,15
23003235,0.2857142857142857,0.14285714285714285,0,2019,0.3125,0.125,3,2,Nível II,16
23003243,0.21428571428571427,0.35714285714285715,0.14285714285714285,2019,0.6470588235294118,0.2941176470588235,3,2,Nível II,17
23003294,0.09090909090909091,0.18181818181818182,0,2019,0.7058823529411765,0.8823529411764706,3,2,Nível III,17
23003359,0.2631578947368421,0.10526315789473684,0.05263157894736842,2019,0.3478260869565217,0.782608695652174,3,2,Nível II,23
23003570,0,0.25,0.08333333333333333,2019,0.5833333333333334,0.8333333333333334,3,2,Nível III,12
23003871,0.208955223880597,0.16417910447761194,0.08955223880597014,2019,0.4556962025316456,0.759493670886076,3,1,Nível III,79
23004177,0.3125,0.1875,0.0625,2019,0.4375,0.75,3,2,Nível II,16
23004266,0.047619047619047616,0.19047619047619047,0.047619047619047616,2019,0.6521739130434783,0,3,2,Nível II,23
23004282,0.13636363636363635,0.3181818181818182,0,2019,0.6875,0.09375,3,1,Nível II,32
23004290,0.1,0.06666666666666667,0,2019,0.28125,0.15625,3,1,Nível II,32
