id_escola,nome_escola,ano,nota_matematica,ideb,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF,reprovacao,carro,superior,porc_sexo_masc,porc_cor_prePar,cactus,ID_MUNICIPIO,ano_cactus
23000260,EXPEDITO JOSE DE FREITAS EEIEF,2019,308.86,6.7,3,2,Nível III,21,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.3809523809523809,0.5714285714285714,0,2300200,0
23000449,JOAO DOMINGUES DE SOUSA EEIEF,2013,258.97,4.9,3,2,Grupo 1,27,0.14285714285714285,0.22727272727272727,0.045454545454545456,0.36363636363636365,0.45454545454545453,1,2300200,0
23000449,JOAO DOMINGUES DE SOUSA EEIEF,2015,254.38,4.9,3,2,Baixo,27,0.24,0.16,0,0.4,0.5416666666666666,1,2300200,0
23000449,JOAO DOMINGUES DE SOUSA EEIEF,2017,299,5.6,3,2,Grupo 2,12,0,0.3,0.1,0.4,0.2,1,2300200,0
23000449,JOAO DOMINGUES DE SOUSA EEIEF,2019,316.14,6.6,3,2,Nível III,22,0.06666666666666667,0.2,0.13333333333333333,0.4545454545454545,0.5,1,2300200,1
23000465,JOAO LOURENCO PEREIRA ROCHA EEIEF,2017,315.61,6.7,3,2,NA,35,0.0625,0.375,0.0625,0.375,0.8666666666666667,0,NA,0
23000473,JOAO RIBEIRO RAMOS EEIEF,2013,247.31,3.8,3,2,Grupo 2,42,0.5128205128205128,0.15,0,0.45,0.65,1,2300200,0
23000473,JOAO RIBEIRO RAMOS EEIEF,2015,266.9,4.6,3,2,Baixo,41,0.45,0.125,0.025,0.5,0.6,1,2300200,0
23000473,JOAO RIBEIRO RAMOS EEIEF,2017,297.01,6.1,3,2,Grupo 2,27,0,0.07692307692307693,0.08,0.4230769230769231,0.8461538461538461,1,2300200,0
23000473,JOAO RIBEIRO RAMOS EEIEF,2019,276.11,5.2,3,2,Nível II,34,0.3,0.3,0.03333333333333333,0.4705882352941176,0.5588235294117647,1,2300200,1
23000481,JOAQUIM JOSE RODRIGUES EEIEF,2017,280.36,5.5,3,2,NA,24,0.041666666666666664,0.25,0.08695652173913043,0.5416666666666666,0.7916666666666666,0,2300200,0
23000481,JOAQUIM JOSE RODRIGUES EEIEF,2019,278.16,5.7,3,2,Nível III,19,0,0.16666666666666666,0,0.5263157894736842,0.3157894736842105,0,2300200,0
23000490,JOAQUIM TIAGO DO NASCIMENTO EEIEF,2017,242.15,4.7,3,2,NA,10,0.1,0.1,0.1111111111111111,0.4444444444444444,0.4,0,2300200,0
23000520,DEPUTADO JOSE FILOMENO EEIEF,2013,259.98,4.6,3,1,Grupo 2,32,0.25806451612903225,0.0625,0.03125,0.5625,0.78125,1,2300200,0
23000520,DEPUTADO JOSE FILOMENO EEIEF,2015,254.32,4.4,3,1,Baixo,40,0.3333333333333333,0.24324324324324326,0.05263157894736842,0.5641025641025641,0.8461538461538461,1,2300200,0
23000520,DEPUTADO JOSE FILOMENO EEIEF,2017,254.55,4.7,3,1,Grupo 2,35,0.12121212121212122,0.24242424242424243,0.06060606060606061,0.45454545454545453,0.8387096774193549,1,2300200,0
23000520,DEPUTADO JOSE FILOMENO EEIEF,2019,265.55,5,3,1,Nível III,36,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.5833333333333334,0.4722222222222222,1,2300200,1
23000562,MANOEL EDGAR DA SILVEIRA EEIEF,2013,273.1,4.7,3,2,Grupo 2,42,0.358974358974359,0.3,0.1,0.6410256410256411,0.6578947368421053,1,2300200,0
23000562,MANOEL EDGAR DA SILVEIRA EEIEF,2015,252.79,4.5,3,2,Médio Baixo,46,0.4222222222222222,0.1111111111111111,0.06976744186046512,0.5217391304347826,0.5714285714285714,1,2300200,0
23000562,MANOEL EDGAR DA SILVEIRA EEIEF,2017,280.91,5.5,3,2,Grupo 2,55,0.02,0.34,0.02040816326530612,0.46,0.6530612244897959,1,2300200,0
23000562,MANOEL EDGAR DA SILVEIRA EEIEF,2019,289.94,5.9,3,2,Nível III,57,0.08695652173913043,0.2391304347826087,0.08695652173913043,0.5263157894736842,0.5263157894736842,1,2300200,1
23000570,HERMINIA FRANKLINA DA SILVEIRA EEIEF,2013,258,4.9,3,2,Grupo 3,88,0.40963855421686746,0.20454545454545456,0.043478260869565216,0.4939759036144578,0.6166666666666667,1,2300200,0
23000570,HERMINIA FRANKLINA DA SILVEIRA EEIEF,2015,266.05,5.1,3,2,Médio Baixo,69,0.28125,0.15384615384615385,0.06060606060606061,0.625,0.5692307692307692,1,2300200,0
23000570,HERMINIA FRANKLINA DA SILVEIRA EEIEF,2017,280.06,5.8,3,2,Grupo 2,54,0,0.24074074074074073,0.018867924528301886,0.5660377358490566,0.6415094339622641,1,2300200,0
23000570,HERMINIA FRANKLINA DA SILVEIRA EEIEF,2019,271.54,5.4,3,2,Nível III,88,0.14084507042253522,0.28169014084507044,0.04225352112676056,0.5909090909090909,0.6022727272727273,1,2300200,1
23000651,MARIA LEONETE BRANDAO EEIEF PROFÂª,2015,234.03,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2300200,0
23000651,MARIA LEONETE BRANDAO EEIEF PROFÂª,2017,250.12,4.8,3,1,NA,26,0.18181818181818182,0.043478260869565216,0,0.47619047619047616,0.8260869565217391,1,2300200,0
23000651,MARIA LEONETE BRANDAO EEIEF PROFÂª,2019,244.77,4.8,3,1,Nível III,22,0.5,0.3333333333333333,0.05555555555555555,0.5909090909090909,0.6363636363636364,1,2300200,1
23000660,MARIA NAZARE VIANA EEIEF,2017,287.18,5.9,3,2,NA,18,0.1111111111111111,0.2777777777777778,0,0.2777777777777778,0.4444444444444444,0,2300200,0
23000660,MARIA NAZARE VIANA EEIEF,2019,256.78,4.9,3,2,Nível III,21,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.6666666666666666,0.3809523809523809,0,2300200,0
23000708,HIGINO DE SOUZA BRANDAO EEIEF,2015,266.95,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2300200,0
23000708,HIGINO DE SOUZA BRANDAO EEIEF,2017,271.06,5.3,3,1,NA,26,0.043478260869565216,0.13636363636363635,0.045454545454545456,0.43478260869565216,0.5,1,2300200,0
23000708,HIGINO DE SOUZA BRANDAO EEIEF,2019,279.53,5.5,3,1,Nível III,20,0.17647058823529413,0.35294117647058826,0,0.5,0.4,1,2300200,1
23000791,DONA EULINA MAGALHAES EEF,2013,246.68,4,3,1,Grupo 3,49,0.24,0.15789473684210525,0,0.4722222222222222,0.6285714285714286,1,2300200,0
23000791,DONA EULINA MAGALHAES EEF,2015,249.8,4.3,3,1,Médio Baixo,41,0.2727272727272727,0.3,0.125,0.5161290322580645,0.8333333333333334,1,2300200,0
23000791,DONA EULINA MAGALHAES EEF,2017,279.55,5.3,3,1,Grupo 2,32,0.03571428571428571,0.25925925925925924,0.03571428571428571,0.5,0.7777777777777778,1,2300200,0
23000791,DONA EULINA MAGALHAES EEF,2019,259.49,4.8,3,1,Nível III,28,0.16,0.2,0.04,0.3928571428571428,0.5,1,2300200,1
23000830,SOFIA NUNES DE FREITAS EEIEF,2013,237.24,3.8,3,2,Grupo 1,37,0.5625,0.08333333333333333,0.027777777777777776,0.5483870967741935,0.5277777777777778,0,2300200,0
23000830,SOFIA NUNES DE FREITAS EEIEF,2015,241.77,4.2,3,2,Baixo,28,0.3793103448275862,0.18518518518518517,0.03571428571428571,0.5555555555555556,0.6538461538461539,0,2300200,0
23000830,SOFIA NUNES DE FREITAS EEIEF,2017,264.44,5.1,3,2,Grupo 2,19,0,0.05263157894736842,0,0.1111111111111111,0.8235294117647058,0,2300200,0
23000830,SOFIA NUNES DE FREITAS EEIEF,2019,266.63,5.1,3,2,Nível II,25,0.17391304347826086,0.21739130434782608,0,0.4,0.84,0,2300200,0
23000910,ANTONIO FERREIRA SALES EEIEF,2013,307.14,5.6,3,2,Grupo 2,46,0.4166666666666667,0,0.07142857142857142,0.5,NA,0,2300200,0
23000910,ANTONIO FERREIRA SALES EEIEF,2017,245.68,4.6,3,2,Grupo 1,47,0.025,0.11627906976744186,0.125,0.6904761904761905,0.75,0,2300200,0
23000910,ANTONIO FERREIRA SALES EEIEF,2019,291.5,5.9,3,2,Nível II,30,0.17857142857142858,0.07142857142857142,0.07142857142857142,0.5333333333333333,0.5666666666666667,0,2300200,0
23000945,LAURA FURTADO DO NASCIMENTO EEIEF,2017,289.64,6.2,3,2,Grupo 2,20,0.0625,0.1875,0,0.29411764705882354,0.625,0,2300200,0
23000945,LAURA FURTADO DO NASCIMENTO EEIEF,2019,315.02,6.9,3,2,Nível III,30,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.6,0.6,0,2300200,0
23000953,JOAO JAIME FERREIRA GOMES FILHO EEIEF,2013,232.4,3.8,3,2,Grupo 2,71,0.3898305084745763,0.13793103448275862,0.027777777777777776,0.6949152542372882,0.7419354838709677,0,2300200,0
23000953,JOAO JAIME FERREIRA GOMES FILHO EEIEF,2015,271.37,5.4,3,2,Baixo,47,0.2727272727272727,0.1956521739130435,0.022727272727272728,0.5333333333333333,0.8,0,2300200,0
23000953,JOAO JAIME FERREIRA GOMES FILHO EEIEF,2017,300.38,6.5,3,2,Grupo 2,42,0.024390243902439025,0.34146341463414637,0.10256410256410256,0.3902439024390244,0.717948717948718,0,2300200,0
23000953,JOAO JAIME FERREIRA GOMES FILHO EEIEF,2019,282.53,5.9,3,2,Nível III,49,0.1111111111111111,0.3333333333333333,0.1388888888888889,0.5510204081632653,0.7346938775510204,0,2300200,0
23000988,JOSE AUGUSTO VASCONCELOS EEIEF,2017,266.39,4.8,3,2,NA,13,0,0.14285714285714285,0,0.21428571428571427,0.7857142857142857,0,NA,0
23001054,MANOEL DUCA DA SILVEIRA EEIEF,2013,249.61,4.1,3,1,Grupo 2,25,0.48148148148148145,0.15384615384615385,0,0.44,0.4583333333333333,0,2300200,0
23001054,MANOEL DUCA DA SILVEIRA EEIEF,2017,286.17,5.8,3,1,NA,25,0,0.28,0.04,0.56,0.64,0,2300200,0
23001054,MANOEL DUCA DA SILVEIRA EEIEF,2019,289.04,5.8,3,1,Nível II,18,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.5,0.6666666666666666,0,2300200,0
23001070,MANOEL JOAO DE ARAUJO EEIEF,2013,230.01,3.5,3,1,Grupo 2,36,0.6857142857142857,0.02857142857142857,0.02857142857142857,0.45714285714285713,0.7714285714285715,1,2300200,0
23001070,MANOEL JOAO DE ARAUJO EEIEF,2015,250.67,4.1,3,1,Baixo,87,0.3561643835616438,0.11940298507462686,0.08823529411764706,0.5138888888888888,0.8,1,2300200,0
23001070,MANOEL JOAO DE ARAUJO EEIEF,2017,249.53,4.7,3,1,Grupo 2,63,0.017543859649122806,0.19298245614035087,0.05357142857142857,0.43859649122807015,0.7321428571428571,1,2300200,0
23001070,MANOEL JOAO DE ARAUJO EEIEF,2019,248.66,4.9,3,1,Nível III,58,0.24444444444444444,0.24444444444444444,0.044444444444444446,0.5,0.6724137931034483,1,2300200,1
23001100,RAIMUNDA DOMINGUES OLIVEIRA EEIEF,2013,257.76,4.8,3,2,Grupo 2,39,0.3142857142857143,0.17142857142857143,0,0.5142857142857142,0.7352941176470589,0,2300200,0
23001100,RAIMUNDA DOMINGUES OLIVEIRA EEIEF,2015,242.53,4.5,3,2,Médio Baixo,25,0.44,0.04,0,0.48,0.6666666666666666,0,2300200,0
23001100,RAIMUNDA DOMINGUES OLIVEIRA EEIEF,2017,276.7,5.1,3,2,Grupo 1,20,0.10526315789473684,0.05263157894736842,0,0.5,0.7368421052631579,0,2300200,0
23001100,RAIMUNDA DOMINGUES OLIVEIRA EEIEF,2019,284.32,5.9,3,2,Nível III,30,0.16,0.24,0.08,0.7333333333333333,0.5,0,2300200,0
23176016,ROQUE LOPES DE ARAUJO EEIEF,2015,255.6,4.9,3,2,Baixo,33,0.25,0.24242424242424243,0.030303030303030304,0.5,0.3939393939393939,1,2300200,0
23176016,ROQUE LOPES DE ARAUJO EEIEF,2017,264.38,5.3,3,2,Grupo 2,21,0,0.14285714285714285,0.047619047619047616,0.23809523809523808,0.7,1,2300200,0
23176016,ROQUE LOPES DE ARAUJO EEIEF,2019,295.9,6,3,2,Nível II,31,0.19230769230769232,0.34615384615384615,0.07692307692307693,0.5806451612903226,0.4838709677419355,1,2300200,1
23219610,JOELINA RIBEIRO RAMOS VIANA EEIEF PROFÂª,2013,227.36,3.9,3,1,Grupo 2,52,0.2619047619047619,0.09523809523809523,0,0.43243243243243246,0.6829268292682927,1,2300200,0
23219610,JOELINA RIBEIRO RAMOS VIANA EEIEF PROFÂª,2015,250.14,4.3,3,1,Baixo,48,0.2608695652173913,0.21951219512195122,0.07142857142857142,0.4772727272727273,0.6136363636363636,1,2300200,0
23219610,JOELINA RIBEIRO RAMOS VIANA EEIEF PROFÂª,2017,266.67,5.2,3,1,Grupo 1,38,0.03125,0.20588235294117646,0,0.36363636363636365,0.7941176470588235,1,2300200,0
23219610,JOELINA RIBEIRO RAMOS VIANA EEIEF PROFÂª,2019,246.32,4.8,3,1,Nível III,34,0.2916666666666667,0.125,0.041666666666666664,0.6470588235294118,0.7058823529411765,1,2300200,1
23253215,JOAO JAIME FERREIRA GOMES FILHO EEIEF,2013,251.58,4.1,3,1,Grupo 2,38,0.5151515151515151,0.11764705882352941,0.030303030303030304,0.59375,0.5151515151515151,0,2300200,0
23253215,JOAO JAIME FERREIRA GOMES FILHO EEIEF,2015,245.84,3.6,3,1,Médio Baixo,54,0.6363636363636364,0.1951219512195122,0.023809523809523808,0.5952380952380952,0.7906976744186046,0,2300200,0
23253215,JOAO JAIME FERREIRA GOMES FILHO EEIEF,2017,258.58,4.9,3,1,Grupo 2,29,0,0.18518518518518517,0.038461538461538464,0.5185185185185185,0.96,0,2300200,0
23253215,JOAO JAIME FERREIRA GOMES FILHO EEIEF,2019,283.87,5.8,3,1,Nível II,30,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.6333333333333333,0.8,0,2300200,0
23253231,TERESA DE JESUS SILVA EEIEF PROFÂª,2013,249.49,4.3,3,1,Grupo 3,107,0.38636363636363635,0.1839080459770115,0.13636363636363635,0.3977272727272727,0.7428571428571429,1,2300200,0
23253231,TERESA DE JESUS SILVA EEIEF PROFÂª,2015,256.89,4.6,3,1,Médio Baixo,89,0.26136363636363635,0.43529411764705883,0.08235294117647059,0.5058823529411764,0.6046511627906976,1,2300200,0
23253231,TERESA DE JESUS SILVA EEIEF PROFÂª,2017,275.26,4.9,3,1,Grupo 3,82,0.013157894736842105,0.3918918918918919,0.056338028169014086,0.44,0.6805555555555556,1,2300200,0
23253231,TERESA DE JESUS SILVA EEIEF PROFÂª,2019,270.45,5.2,3,1,Nível III,79,0.22388059701492538,0.34328358208955223,0.1791044776119403,0.4303797468354431,0.5063291139240507,1,2300200,1
23317213,FRANCISCA SILVEIRA GOMES PROFA EEF,2013,248.37,4.1,3,1,Grupo 2,36,0.2222222222222222,0.1388888888888889,0,0.375,0.7727272727272727,1,2300200,0
